name,is_used,Full name,type,description,comment,unit,source
time,TRUE,,input,,,,EC
BOWEN_RATIO,TRUE,,input,,,,EC
CO2,TRUE,,,,,,EC
CO2_ABS,TRUE,,,,,,EC
CO2_SPIKES,FALSE,,,,,,EC
CO2_TLAG,FALSE,,,,,,EC
CO2_VADV,FALSE,,,,,,EC
CO2_VAR,FALSE,,,,,,EC
C_P,FALSE,,,,,,EC
ET,FALSE,,,,,,EC
FC,FALSE,,,,,,EC
FCO2,FALSE,,,,,,EC
FCO2_QC,FALSE,,,,,,EC
FCO2_RANDOM_ERROR,FALSE,,,,,,EC
FCO2_SCF,FALSE,,,,,,EC
FCO2_UN,FALSE,,,,,,EC
FETCH_10,TRUE,,,,,,EC
FETCH_30,TRUE,,,,,,EC
FETCH_50,TRUE,,,,,,EC
FETCH_70,TRUE,,,,,,EC
FETCH_90,TRUE,,,,,,EC
FETCH_MAX,TRUE,,,,,,EC
FH2O,FALSE,,,,,,EC
FH2O_QC,FALSE,,,,,,EC
FH2O_RANDOM_ERROR,FALSE,,,,,,EC
FH2O_SCF,FALSE,,,,,,EC
FH2O_UN,FALSE,,,,,,EC
H,FALSE,,,,,,EC
H20_SPIKES,FALSE,,,,,,EC
H2O,FALSE,,,,,,EC
H2O_ABS,FALSE,,,,,,EC
H2O_TLAG,FALSE,,,,,,EC
H2O_VADV,FALSE,,,,,,EC
H2O_VAR,FALSE,,,,,,EC
H_QC,FALSE,,,,,,EC
H_RANDOM_ERROR,FALSE,,,,,,EC
H_SCF,FALSE,,,,,,EC
H_UN,FALSE,,,,,,EC
H_scf,FALSE,,,,,,EC
H_strg,FALSE,,,,,,EC
L,FALSE,,,,,,EC
LE,FALSE,,,,,,EC
LE_QC,FALSE,,,,,,EC
LE_RANDOM_ERROR,FALSE,,,,,,EC
LE_SCF,FALSE,,,,,,EC
LE_UN,FALSE,,,,,,EC
LE_scf,FALSE,,,,,,EC
LE_strg,FALSE,,,,,,EC
MO_LENGTH,FALSE,,,,,,EC
M_VOL,FALSE,,,,,,EC
PA,FALSE,,,,,,EC
PITCH,FALSE,,,,,,EC
P_BENCH,FALSE,,,,,,EC
R2_SR_linear,FALSE,,,,,,EC
RH,TRUE,,,,,,EC
RHO_AIR,FALSE,,,,,,EC
RHO_WV,FALSE,,,,,,EC
RMSE_SR_exp,FALSE,,,,,,EC
SCO2,FALSE,,,,,,EC
SH,FALSE,,,,,,EC
SH2O,FALSE,,,,,,EC
SLE,FALSE,,,,,,EC
SPECIFIC_HUMIDITY,FALSE,,,,,,EC
SR,FALSE,,,,,,EC
SR_LI8100,FALSE,,,,,,EC
SR_exp,FALSE,,,,,,EC
SR_linear,FALSE,,,,,,EC
SWC,FALSE,,,,,,EC
T,TRUE,,,,,,EC
TA,FALSE,,,,,,EC
TAU,FALSE,,,,,,EC
TAU_QC,FALSE,,,,,,EC
TAU_RANDOM_ERROR,FALSE,,,,,,EC
TAU_SCF,FALSE,,,,,,EC
TAU_UN,FALSE,,,,,,EC
TKE,FALSE,,,,,,EC
TS,FALSE,,,,,,EC
TSTAR,FALSE,,,,,,EC
T_BENCH,FALSE,,,,,,EC
T_BOARD,FALSE,,,,,,EC
T_DP,FALSE,,,,,,EC
T_SONIC,FALSE,,,,,,EC
T_SONIC_SPIKES,FALSE,,,,,,EC
T_SONIC_VAR,FALSE,,,,,,EC
Tau,FALSE,,,,,,EC
Tau_scf,FALSE,,,,,,EC
Tdew,FALSE,,,,,,EC
USTAR,TRUE,,,,,,EC
U_ROT,TRUE,,,,,,EC
U_SPIKES,TRUE,,,,,,EC
U_UNROT,TRUE,,,,,,EC
U_VAR,TRUE,,,,,,EC
VPD,FALSE,,,,,,EC
VP_act,FALSE,,,,,,EC
VP_max,FALSE,,,,,,EC
V_IN,FALSE,,,,,,EC
V_ROT,TRUE,,,,,,EC
V_SPIKES,TRUE,,,,,,EC
V_UNROT,TRUE,,,,,,EC
V_VAR,TRUE,,,,,,EC
WD,TRUE,,,,,,EC
WS,TRUE,,,,,,EC
WS_MAX,TRUE,,,,,,EC
W_CO2_COV,FALSE,,,,,,EC
W_H2O_COV,FALSE,,,,,,EC
W_ROT,FALSE,,,,,,EC
W_SPIKES,TRUE,,,,,,EC
W_T_SONIC_COV,FALSE,,,,,,EC
W_UNROT,TRUE,,,,,,EC
W_VAR,FALSE,,,,,,EC
X.z.d..L,FALSE,,,,,,EC
YAW,FALSE,,,,,,EC
ZL,FALSE,,,,,,EC
air_density,FALSE,,,,,,EC
air_heat_capacity,FALSE,,,,,,EC
air_molar_volume,FALSE,,,,,,EC
air_pressure,FALSE,,,,,,EC
air_temperature,FALSE,,,,,,EC
bowen_ratio,FALSE,,,,,,EC
co2_flux,TRUE,,,,,,EC
co2_mean,FALSE,,,,,,EC
co2_mixing_ratio,FALSE,,,,,,EC
co2_molar_density,FALSE,,,,,,EC
co2_mole_fraction,FALSE,,,,,,EC
co2_scf,FALSE,,,,,,EC
co2_spikes,TRUE,,,,,,EC
co2_strg,FALSE,,,,,,EC
co2_time_lag,FALSE,,,,,,EC
